coin_name,coin_symbol,price_usd,market_cap_usd,volume_24h,price_change_24h_pct,timestamp
bitcoin,btc,62007.0,1242641576833,53231886445,-0.7111,2026-06-05 16:59:21.611910
ethereum,eth,1664.53,200893611465,26398833954,-4.80524,2026-06-05 16:59:21.611910
tether,usdt,0.999093,187359092530,86800504670,0.01796,2026-06-05 16:59:21.611910
binancecoin,bnb,589.93,79526791919,1515976874,-0.80792,2026-06-05 16:59:21.611910
usd-coin,usdc,0.999672,75532490406,21376197366,0.00032,2026-06-05 16:59:21.611910
ripple,xrp,1.12,69354263749,3085900569,-2.95882,2026-06-05 16:59:21.611910
solana,sol,66.11,38251695225,5139815996,-3.43927,2026-06-05 16:59:21.611910
tron,trx,0.324994,30810057085,909549615,-0.93249,2026-06-05 16:59:21.611910
figure-heloc,figr_heloc,1.019,18837689415,40614535,1.80714,2026-06-05 16:59:21.611910
hyperliquid,hype,61.71,13694800305,1641362388,-7.19508,2026-06-05 16:59:21.611910
dogecoin,doge,0.084152,13005067249,1348647703,-4.12367,2026-06-05 16:59:21.611910
usds,usds,0.999542,10889434592,200975872,-0.02138,2026-06-05 16:59:21.611910
leo-token,leo,9.9,9109369372,2758225,-0.47384,2026-06-05 16:59:21.611910
rain,rain,0.01326835,8261506829,45123125,-5.79518,2026-06-05 16:59:21.611910
stellar,xlm,0.189789,6400432666,794389283,-7.67962,2026-06-05 16:59:21.611910
monero,xmr,338.52,6343543233,198121155,-1.72261,2026-06-05 16:59:21.611910
cardano,ada,0.162514,6040143567,1149077132,-14.41466,2026-06-05 16:59:21.611910
canton-network,cc,0.145319,5633067558,17198704,-3.82606,2026-06-05 16:59:21.611910
chainlink,link,7.56,5498417570,486717235,-4.45513,2026-06-05 16:59:21.611910
whitebit,wbt,44.61,5276299133,242015451,-1.20271,2026-06-05 16:59:21.611910
