country_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,timestamp
USA,111820082,0,1219487,0,109814428,786167,2026-02-09 14:00:37.394703
India,45035393,0,533570,0,0,44501823,2026-02-09 14:00:37.394703
France,40138560,0,167642,0,39970918,0,2026-02-09 14:00:37.394703
Germany,38828995,0,183027,0,38240600,405368,2026-02-09 14:00:37.394703
Brazil,38743918,0,711380,0,36249161,1783377,2026-02-09 14:00:37.394703
S. Korea,34571873,0,35934,0,34535939,0,2026-02-09 14:00:37.394703
Japan,33803572,0,74694,0,0,33728878,2026-02-09 14:00:37.394703
Italy,26723249,0,196487,0,26361218,165544,2026-02-09 14:00:37.394703
UK,24910387,0,232112,0,24678275,0,2026-02-09 14:00:37.394703
Russia,24124215,0,402756,0,23545818,175641,2026-02-09 14:00:37.394703
Turkey,17232066,0,102174,0,0,17129892,2026-02-09 14:00:37.394703
Spain,13914811,0,121760,0,13762417,30634,2026-02-09 14:00:37.394703
Australia,11853144,0,24414,0,11820014,8716,2026-02-09 14:00:37.394703
Vietnam,11625195,0,43206,0,10640971,941018,2026-02-09 14:00:37.394703
Taiwan,10241523,0,19005,0,10222518,0,2026-02-09 14:00:37.394703
Argentina,10128845,0,130841,0,9997258,746,2026-02-09 14:00:37.394703
Netherlands,8635786,0,22992,0,8612599,195,2026-02-09 14:00:37.394703
Mexico,7702809,0,334958,0,6899865,467986,2026-02-09 14:00:37.394703
Iran,7627186,0,146811,0,0,7480375,2026-02-09 14:00:37.394703
Indonesia,6829221,0,162063,0,6647104,20054,2026-02-09 14:00:37.394703
